dependent.var,repeat.var.value,population.group,numbers
h2_iv,khan_yunis,all,0.364100858
h2_iv,deir_balah,all,0.485514072
h2_iv,gaza,all,0.47104079
h2_iv,rafah,all,0.612372828
h2_iv,north_gaza,all,0.474151067
h2_v,khan_yunis,all,0.042286215
h2_v,deir_balah,all,0.037911972
h2_v,gaza,all,0.027552527
h2_v,rafah,all,0.039126651
h2_v,north_gaza,all,0.034075883
h2_vi,khan_yunis,all,0.040490243
h2_vi,deir_balah,all,0.046012112
h2_vi,gaza,all,0.038247924
h2_vi,rafah,all,0.028662897
h2_vi,north_gaza,all,0.035164819
h2_vii,khan_yunis,all,0.01705295
h2_vii,deir_balah,all,0.024235995
h2_vii,gaza,all,0.000535016
h2_vii,rafah,all,0.024249268
h2_vii,north_gaza,all,0.015360198
h3,khan_yunis,all,0.268219499
h3,deir_balah,all,0.155102584
h3,gaza,all,0.365189524
h3,rafah,all,0.167778574
h3,north_gaza,all,0.269109521
h3_i,khan_yunis,all,0.743033271
h3_i,deir_balah,all,0.641201881
h3_i,gaza,all,0.64068796
h3_i,rafah,all,0.354345222
h3_i,north_gaza,all,0.672477149
h3_ii,khan_yunis,all,0.005351338
h3_ii,deir_balah,all,0.009659305
h3_ii,gaza,all,0.049409885
h3_ii,rafah,all,0
h3_ii,north_gaza,all,0
h3_iii,khan_yunis,all,0.072405361
h3_iii,deir_balah,all,0.030840204
h3_iii,gaza,all,0.00024292
h3_iii,rafah,all,0.058421826
h3_iii,north_gaza,all,0.004709454
h3_iv,khan_yunis,all,0.031040044
h3_iv,deir_balah,all,0.042044602
h3_iv,gaza,all,0.073469057
h3_iv,rafah,all,0.010902737
h3_iv,north_gaza,all,0.000463393
h3_v,khan_yunis,all,0.00123281
h3_v,deir_balah,all,0.032546196
h3_v,gaza,all,0.000221842
h3_v,rafah,all,0
h3_v,north_gaza,all,0
h3_vi,khan_yunis,all,0.003042261
h3_vi,deir_balah,all,0.017980058
h3_vi,gaza,all,0
h3_vi,rafah,all,0
h3_vi,north_gaza,all,0
h3_vii,khan_yunis,all,0.250229391
h3_vii,deir_balah,all,0.182572258
h3_vii,gaza,all,0.081762686
h3_vii,rafah,all,0.425400493
h3_vii,north_gaza,all,0.034336875
h3_viii,khan_yunis,all,0.122328356
h3_viii,deir_balah,all,0.113491418
h3_viii,gaza,all,0.379238472
h3_viii,rafah,all,0.200739283
h3_viii,north_gaza,all,0.364637647
h3_ix,khan_yunis,all,0.024224622
h3_ix,deir_balah,all,0.016292381
h3_ix,gaza,all,0
h3_ix,rafah,all,0
h3_ix,north_gaza,all,0.004325223
h3_x,khan_yunis,all,0.058201691
h3_x,deir_balah,all,0.106290518
h3_x,gaza,all,0.006149493
h3_x,rafah,all,0.038866751
h3_x,north_gaza,all,0.111867756
h3_xi,khan_yunis,all,0.060023945
h3_xi,deir_balah,all,0.096981756
h3_xi,gaza,all,0.152700377
h3_xi,rafah,all,0.131727497
h3_xi,north_gaza,all,0.115206564
h3_xii,khan_yunis,all,0
h3_xii,deir_balah,all,0
h3_xii,gaza,all,0
h3_xii,rafah,all,0
h3_xii,north_gaza,all,0
h3_xiii,khan_yunis,all,0
h3_xiii,deir_balah,all,0
h3_xiii,gaza,all,0
h3_xiii,rafah,all,0
h3_xiii,north_gaza,all,0.008098751
h3_xiv,khan_yunis,all,0.001038902
h3_xiv,deir_balah,all,0
h3_xiv,gaza,all,0
h3_xiv,rafah,all,0.038866751
h3_xiv,north_gaza,all,0
h3_xv,khan_yunis,all,0.008914142
h3_xv,deir_balah,all,0.004542936
h3_xv,gaza,all,0.049874646
h3_xv,rafah,all,0.013153137
h3_xv,north_gaza,all,0
h3_xvi,khan_yunis,all,0.079310082
