dependent.var,repeat.var.value,independent.var,numbers,independent.var,numbers,independent.var,numbers,independent.var,numbers,independent.var,numbers,independent.var,numbers,independent.var,numbers
hh12,north_gaza,female_headed,0.67187268,male_headed,0.44403609,refugees,0.46789545,non_refugees,0.45990887,in_camp_refugee,0.571428571,out_camp_refugee,0.444312463,NA,0.465679962
hhd1,khan_yunis,female_headed,0.074776535,male_headed,0.097278745,refugees,0.098931715,non_refugees,0.086998275,in_camp_refugee,0.306451613,out_camp_refugee,0.055538185,NA,0.094603879
hhd1,deir_balah,female_headed,0.102558573,male_headed,0.074960566,refugees,0.084202634,non_refugees,0.049921855,in_camp_refugee,0.079115814,out_camp_refugee,0.087063915,NA,0.079287422
hhd1,gaza,female_headed,0.09641979,male_headed,0.096069545,refugees,0.0731308,non_refugees,0.124956699,in_camp_refugee,0.098360656,out_camp_refugee,0.070085778,NA,0.096099428
hhd1,rafah,female_headed,0.296477084,male_headed,0.177701716,refugees,0.186825055,non_refugees,0.216618691,in_camp_refugee,0.109375,out_camp_refugee,0.203352704,NA,0.190142219
hhd1,north_gaza,female_headed,0,male_headed,0.016151541,refugees,0.017467295,non_refugees,0.007192986,in_camp_refugee,0.022556391,out_camp_refugee,0.01630809,NA,0.014617187
hhd2,khan_yunis,female_headed,0.15071669,male_headed,0.166377303,refugees,0.160662095,non_refugees,0.171287925,in_camp_refugee,0.032258065,out_camp_refugee,0.18751207,NA,0.164515706
hhd2,deir_balah,female_headed,0.11126769,male_headed,0.144025298,refugees,0.143608208,non_refugees,0.110698018,in_camp_refugee,0.129865583,out_camp_refugee,0.151338287,NA,0.138889513
hhd2,gaza,female_headed,0.103680459,male_headed,0.180534043,refugees,0.164636362,non_refugees,0.185711889,in_camp_refugee,0.204918033,out_camp_refugee,0.159774719,NA,0.173976788
hhd2,rafah,female_headed,0.132527475,male_headed,0.143461363,refugees,0.139585947,non_refugees,0.164107703,in_camp_refugee,0.0859375,out_camp_refugee,0.151034391,NA,0.14231615
hhd2,north_gaza,female_headed,0.406944382,male_headed,0.43398583,refugees,0.421811515,non_refugees,0.456438056,in_camp_refugee,0.22556391,out_camp_refugee,0.466513198,NA,0.431416965
hhd3,khan_yunis,female_headed,0.008784661,male_headed,0.002263872,refugees,0.003418904,non_refugees,0.002371387,in_camp_refugee,0.016129032,out_camp_refugee,0.000761148,NA,0.003039007
hhd3,deir_balah,female_headed,0.005111402,male_headed,0.002464043,refugees,0.003361004,non_refugees,0,in_camp_refugee,0.004295546,out_camp_refugee,0.002835333,NA,0.0028791
hhd3,gaza,female_headed,0,male_headed,0.001229614,refugees,0.001765468,non_refugees,0.000319657,in_camp_refugee,0.016393443,out_camp_refugee,0,NA,0.001124701
hhd3,rafah,female_headed,0,male_headed,0.01291303,refugees,0.013008908,non_refugees,0,in_camp_refugee,0,out_camp_refugee,0.015784977,NA,0.011560522
hhd3,north_gaza,female_headed,0.001136771,male_headed,0.013825682,refugees,0.017465115,non_refugees,0,in_camp_refugee,0.037593985,out_camp_refugee,0.01288012,NA,0.012620269
f1_i,khan_yunis,female_headed,0.001742941,male_headed,0.00479424,refugees,0.006953211,non_refugees,0,in_camp_refugee,0,out_camp_refugee,0.008407165,NA,0.004431528
f1_i,deir_balah,female_headed,0.026840066,male_headed,0.00357002,refugees,0.008426537,non_refugees,0,in_camp_refugee,0.006787537,out_camp_refugee,0.009348457,NA,0.007218332
f1_i,gaza,female_headed,0.001472985,male_headed,0.008961603,refugees,0.002114753,non_refugees,0.016122144,in_camp_refugee,0.016393443,out_camp_refugee,0.000391441,NA,0.008322664
f1_i,rafah,female_headed,0.01165739,male_headed,0,refugees,0.001373967,non_refugees,0,in_camp_refugee,0.0078125,out_camp_refugee,0,NA,0.001220992
f1_i,north_gaza,female_headed,0,male_headed,0,refugees,0,non_refugees,0,in_camp_refugee,0,out_camp_refugee,0,NA,0
f1_ii,khan_yunis,female_headed,0.125971031,male_headed,0.060636954,refugees,0.080877084,non_refugees,0.046482251,in_camp_refugee,0.008064516,out_camp_refugee,0.096102585,NA,0.068403298
f1_ii,deir_balah,female_headed,0.111109889,male_headed,0.047509778,refugees,0.058430014,non_refugees,0.051811858,in_camp_refugee,0.049847132,out_camp_refugee,0.063257793,NA,0.057481096
f1_ii,gaza,female_headed,0.022263513,male_headed,0.058956971,refugees,0.061361183,non_refugees,0.048872248,in_camp_refugee,0.073770492,out_camp_refugee,0.059863488,NA,0.055826234
f1_ii,rafah,female_headed,0.072746704,male_headed,0.043453522,refugees,0.040006393,non_refugees,0.098524502,in_camp_refugee,0.0234375,out_camp_refugee,0.043542154,NA,0.046521682
f1_ii,north_gaza,female_headed,0,male_headed,0.021407043,refugees,0.021437534,non_refugees,0.013996679,in_camp_refugee,0,out_camp_refugee,0.02632062,NA,0.019373431
f1_iii,khan_yunis,female_headed,0.872286028,male_headed,0.934568806,refugees,0.912169704,non_refugees,0.953517749,in_camp_refugee,0.991935484,out_camp_refugee,0.89549025,NA,0.927165174
f1_iii,deir_balah,female_headed,0.862050045,male_headed,0.948920202,refugees,0.933143449,non_refugees,0.948188142,in_camp_refugee,0.943365331,out_camp_refugee,0.92739375,NA,0.935300572
f1_iii,gaza,female_headed,0.976263502,male_headed,0.932081425,refugees,0.936524064,non_refugees,0.935005608,in_camp_refugee,0.909836066,out_camp_refugee,0.939745071,NA,0.935851102
f1_iii,rafah,female_headed,0.915595906,male_headed,0.956546478,refugees,0.95861964,non_refugees,0.901475498,in_camp_refugee,0.96875,out_camp_refugee,0.956457846,NA,0.952257325
f1_iii,north_gaza,female_headed,1,male_headed,0.978592957,refugees,0.978562466,non_refugees,0.986003321,in_camp_refugee,1,out_camp_refugee,0.97367938,NA,0.980626569
fl1_i,khan_yunis,female_headed,0.832057545,male_headed,0.82315446,refugees,0.816223814,non_refugees,0.838252344,in_camp_refugee,0.822580645,out_camp_refugee,0.814894567,NA,0.824212781
fl1_i,deir_balah,female_headed,0.785747391,male_headed,0.837132306,refugees,0.831104017,non_refugees,0.816960486,in_camp_refugee,0.87061932,out_camp_refugee,0.808877082,NA,0.829076104
fl1_i,gaza,female_headed,0.585695249,male_headed,0.757801283,refugees,0.738857276,non_refugees,0.748468719,in_camp_refugee,0.909836066,out_camp_refugee,0.718221641,NA,0.743116954
fl1_i,rafah,female_headed,0.868872872,male_headed,0.904382117,refugees,0.88893193,non_refugees,0.994295394,in_camp_refugee,0.8984375,out_camp_refugee,0.886903465,NA,0.900662887
fl1_i,north_gaza,female_headed,0.855581793,male_headed,0.858306035,refugees,0.85437156,non_refugees,0.867621959,in_camp_refugee,0.812030075,out_camp_refugee,0.864016191,NA,0.858047239
fl1_ii,khan_yunis,female_headed,0.194072785,male_headed,0.307442802,refugees,0.28895814,non_refugees,0.302767663,in_camp_refugee,0.185483871,out_camp_refugee,0.310595168,NA,0.293966365
fl1_ii,deir_balah,female_headed,0.193634006,male_headed,0.216811241,refugees,0.201254075,non_refugees,0.284412983,in_camp_refugee,0.224721371,out_camp_refugee,0.188053972,NA,0.21317748
fl1_ii,gaza,female_headed,0.029684683,male_headed,0.219078956,refugees,0.203181983,non_refugees,0.202589881,in_camp_refugee,0.336065574,out_camp_refugee,0.187144104,NA,0.20291957
fl1_ii,rafah,female_headed,0.142269635,male_headed,0.299028207,refugees,0.265474701,non_refugees,0.4193723,in_camp_refugee,0.3203125,out_camp_refugee,0.253772451,NA,0.282609352
