"governorate","district","severity_score_1","severity_score_1_min","severity_score_1_max","severity_score_2","severity_score_2_min","severity_score_2_max","severity_score_3","severity_score_3_min","severity_score_3_max","severity_score_4","severity_score_4_min","severity_score_4_max","severity_score_5","severity_score_5_min","severity_score_5_max","lsg_all","lsg_all_min","lsg_all_max"
"","","MSNI Score","","","MSNI Score","","","MSNI Score","","","MSNI Score","","","MSNI Score","","","Living Standard Gap","",""
"","","% HH with a severity score of 1","","","% HH with a severity score of 2","","","% HH with a severity score of 3","","","% HH with a severity score of 4","","","% HH with a severity score of 5","","","% HH with a living standard gap","",""
"","","% HH with a severity score of 1","","","% HH with a severity score of 2","","","% HH with a severity score of 3","","","% HH with a severity score of 4","","","% HH with a severity score of 5","","","% HH with a living standard gap","",""
"","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","",""
NA,"West Bank","0.0261346640860593","0.00897813078142773","0.0432911973906908","0.287871973783118","0.229377809758344","0.346366137807891","0.390491748390676","0.316692375098282","0.46429112168307","0.121578764964814","0.0519528155046994","0.191204714424929","0.173922848775334","0.108914471079955","0.238931226470713","0.685993362130823","0.622800936677994","0.749185787583652"
"Gaza","Gaza","0.000231880791048121","-0.000222768612499855","0.000686530194596096","0.00924574842509664","0.00241805983098593","0.0160734370192073","0.535766399684171","0.50554686144771","0.565985937920633","0.279831131791106","0.25484046069833","0.304821802883882","0.174924839308578","0.151423778277852","0.198425900339304","0.990522370783855","0.983680264652636","0.997364476915075"
