"governorate","district","severity_score_1","severity_score_1_min","severity_score_1_max","severity_score_2","severity_score_2_min","severity_score_2_max","severity_score_3","severity_score_3_min","severity_score_3_max","severity_score_4","severity_score_4_min","severity_score_4_max","severity_score_5","severity_score_5_min","severity_score_5_max","lsg_all","lsg_all_min","lsg_all_max","lsg_edu","lsg_edu_min","lsg_edu_max","lsg_liv","lsg_liv_min","lsg_liv_max","lsg_fs","lsg_fs_min","lsg_fs_max","lsg_prt","lsg_prt_min","lsg_prt_max","lsg_hlth","lsg_hlth_min","lsg_hlth_max","lsg_snfi","lsg_snfi_min","lsg_snfi_max","lsg_wash","lsg_wash_min","lsg_wash_max"
"","","MSNI Score","","","MSNI Score","","","MSNI Score","","","MSNI Score","","","MSNI Score","","","Living Standard Gap","","","Living Standard Gap","","","Living Standard Gap","","","Living Standard Gap","","","Living Standard Gap","","","Living Standard Gap","","","Living Standard Gap","","","Living Standard Gap","",""
"","","% HH with a severity score of 1","","","% HH with a severity score of 2","","","% HH with a severity score of 3","","","% HH with a severity score of 4","","","% HH with a severity score of 5","","","% HH with a living standard gap","","","% HH with a living standard gap","","","% HH with a living standard gap","","","% HH with a living standard gap","","","% HH with a living standard gap","","","% HH with a living standard gap","","","% HH with a living standard gap","","","% HH with a living standard gap","",""
"","","% HH with a severity score of 1","","","% HH with a severity score of 2","","","% HH with a severity score of 3","","","% HH with a severity score of 4","","","% HH with a severity score of 5","","","% HH with a living standard gap","","","% HH with a living standard gap education","","","% HH with a living standard gap livelihoods","","","% HH with a living standard gap food security","","","% HH with a living standard gap protection","","","% HH with a living standard gap health","","","% HH with a living standard gap shelter","","","% HH with a living standard gap wash","",""
"","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","",""
NA,"West Bank","0.0310379111562022","0.0132302723456791","0.0488455499667253","0.383136395254983","0.319763735157684","0.446509055352282","0.164470571883856","0.107349968755526","0.221591175012186","0.421355121704959","0.326083274986607","0.516626968423311","0","0","0","0.585825693588815","0.515569165100997","0.656082222076633","0.0746674410959292","0.0415324268845419","0.107802455307317","0.327609022226171","0.232978447796045","0.422239596656296","0.0665134941742219","0.0326888532355091","0.100338135112935","0.139625151736208","0.0799327824319069","0.19931752104051","0.116209516582974","0.0606042054561207","0.171814827709828","0.0209250260103264","0.000655872565678051","0.0411941794549748","0.178650118774719","0.11244543474093","0.244854802808508"
"Gaza","Gaza","0.000685973833197494","-0.000177716955448235","0.00154966462184322","0.134481372591612","0.11167667558315","0.157286069600073","0.217565588622914","0.191850895487795","0.243280281758033","0.647267064952276","0.617248343236939","0.677285786667613","0","0","0","0.864832653575191","0.842019441665344","0.887645865485038","0.109828003160211","0.0903051003455339","0.129350905974889","0.646051693532072","0.615781119766422","0.676322267297722","0.0668789721192992","0.051407560090102","0.0823503841484965","0.418001114333","0.388483643443421","0.447518585222578","0.197032403704473","0.171371178282214","0.222693629126732","0.268293538921378","0.24341126295446","0.293175814888297","0.180183665530485","0.156361589236349","0.204005741824622"
